DISTRICT,DIST_ENGLISH,TEHSIL,TEHSIL_ENG,RI,RI_ENG,HALKA,HALKA_ENG,VILLAGE,VILLAGE_ENG,BHUCODE_LR,VILLAGECODE_LGD,DATA_AVAILABLE_SINCE,MAP_AVAILABLE,ULB_NAME,VILLAGE_TYPE,IS_KHASRA_AVAILABLE,KHASRA_COUNT,TOTAL_AREA_KHASRA,MAP_PARCEL_COUNT,TOTAL_AREA_MAP,AABAADI_SURVEY
33-??????,Jabalpur,03-????,Patan,01-?????,,00001-?????,,001-?????,Katangi Balaghat,3.30301E+13,802357,2005-2006,Y,??? ?????,?????? ?????,Y,1089,486.61,586,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00001-?????,,002-????,Kudan,3.30301E+13,362901,2005-2006,Y,??? ?????,?????? ?????,Y,1129,404.41,365,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00001-?????,,003-???????,Dewgawa,3.30301E+13,362902,2005-2006,Y,??? ?????,?????? ?????,Y,370,336.32,271,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00002-????,,004-????,Kuda,3.30301E+13,489387,2005-2006,Y,????? ??????,?????? ?????,Y,245,297.11,171,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00002-????,,005-??????,Chargawan,3.30301E+13,489654,2005-2006,Y,????? ??????,?????? ?????,Y,400,535.5,331,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00002-????,,006-?????,Akauna,3.30301E+13,489385,2005-2006,Y,????? ??????,?????? ?????,Y,166,205.74,132,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00002-????,,007-?????,Dohra,3.30301E+13,489386,2005-2006,Y,????? ??????,?????? ?????,Y,202,375.99,153,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00002-????,,008-?????,Madiya,3.30301E+13,489430,2005-2006,Y,????? ??????,?????? ?????,Y,112,134.92,92,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00002-????,,009-?????,Diwari (Gharra),3.30301E+13,489459,2005-2006,Y,????? ??????,?????? ?????,Y,189,252.07,155,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00003-???????,,010-???????,Dugariya,3.30301E+13,489388,2005-2006,Y,????? ??????,?????? ?????,Y,757,474.18,496,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00003-???????,,011-?????,Barbata,3.30301E+13,489383,2005-2006,Y,????? ??????,?????? ?????,Y,390,98.96,289,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00004-?????,,012-?????,Ghatera,3.30301E+13,489390,2005-2006,Y,????? ??????,?????? ?????,Y,237,167.72,165,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00004-?????,,013-????,Jhagri,3.30301E+13,489392,2005-2006,Y,????? ??????,?????? ?????,Y,213,126.14,153,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00004-?????,,014-??????,Hinauta,3.30301E+13,489389,2005-2006,Y,????? ??????,?????? ?????,Y,268,173.49,163,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00004-?????,,015-????????,Mohantara,3.30301E+13,489391,2005-2006,Y,????? ??????,?????? ?????,Y,174,120.61,124,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00004-?????,,016-????,Udaki,3.30301E+13,489382,2005-2006,Y,????? ??????,?????? ?????,Y,208,121.57,167,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00005-??????,,017-??????,Luhari,3.30301E+13,489401,2005-2006,Y,????? ??????,?????? ?????,Y,201,180.15,169,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00005-??????,,018-??????,Murgawan,3.30301E+13,489397,2005-2006,Y,????? ??????,?????? ?????,Y,260,134.72,223,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00005-??????,,019-?????,Muhla,3.30301E+13,489396,2005-2006,Y,????? ??????,?????? ?????,Y,443,360.25,343,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00005-??????,,020-????,Kanti,3.30301E+13,489402,2005-2006,Y,????? ??????,?????? ?????,Y,425,405.44,375,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00006-????,,021-????,Pondi Rajghat,3.30301E+13,489398,2005-2006,Y,????? ??????,?????? ?????,Y,452,156.85,308,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00006-????,,022-??????,Majhgawan,3.30301E+13,489400,2005-2006,Y,????? ??????,?????? ?????,Y,337,144.76,281,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00007-?????,,023-?????,Midki,3.30301E+13,489403,2005-2006,Y,????? ??????,?????? ?????,Y,330,241.91,307,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00007-?????,,024-?????,Harduwa,3.30301E+13,489404,2005-2006,Y,????? ??????,?????? ?????,Y,237,170.16,217,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00007-?????,,025-???????,Pipariya(Babaram),3.30301E+13,489380,2005-2006,Y,????? ??????,?????? ?????,Y,527,299.55,488,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00007-?????,,026-??????,Dhanoli,3.30301E+13,489381,2005-2006,Y,????? ??????,?????? ?????,Y,186,88.61,166,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00007-?????,,027-????,Patna,3.30301E+13,489399,2005-2006,Y,????? ??????,?????? ?????,Y,251,182.01,256,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00008-??????,,028-???????,Kakarhata,3.30301E+13,489405,2005-2006,Y,????? ??????,?????? ?????,Y,629,384.25,562,,N
